DAET (Capital),51603000,19
DAGAMI,83717000,47
DAGOHOY,71217000,15
DAGUIOMAN,140105000,1
DAGUPANCITY,15518000,64
DALAGUETE,72222000,25
DAMULOG,101302000,16
DANAO,71218000,15
DANAOCITY,72223000,25
DANGCAGAN,101303000,16
DANGLAS,140106000,1
DAO,61902000,22
DAPA,166707000,77
DAPITANCITY,97201000,82
DARAGA (LOCSIN),50503000,5
DARAM,86006000,69
DASOL,15519000,64
DATUABDULLAHSANGKI,153828000,48
DATUANGGALMIDTIMBANG,153831000,48
DATUBLAHTSINSUAT,153830000,48
DATUHOF FERAMPATUAN,153835000,48
DATUODINSINSUAT (DINAIG),153807000,48
DATUPAGLAS,153805000,48
DATUPIANG,153806000,48
DATUSALIBO,153836000,48
DATUSAUDI-AMPATUAN,153826000,48
DATUUNSAY,153827000,48
DAUIN,184609000,56
DAUIS,71219000,15
DAVAOCITY,112402000,31
DELCARMEN,166708000,77
DELFINALBANO (MAGSAYSAY),23118000,41
DELGALLEGO,51712000,20
DIADI,25006000,59
DIFFUN,25703000,66
DILASAG,37703000,8
DIMASALANG,54108000,50
DIMATALING,97305000,83
DIMIAO,71220000,15
DINAGAT,168503000,34
DINALUNGAN,37704000,8
DINALUPIHAN,30804000,10
DINAPIGUE,23110000,41
DINAS,97306000,83
DINGALAN,37705000,8
DINGLE,63016000,40
DINGRAS,12809000,38
DIPACULAO,37706000,8
DIPLAHAN,98303000,84
DIPOLOGCITY (Capital),97202000,82
DITSAAN-RAMAIN,153624000,46
DIVILACAN,23111000,41
DO¥AREMEDIOSTRINIDAD,31424000,17
DOLORES,140107000,1
DOLORES,82606000,35
DOLORES,45615000,65
DONCARLOS,101304000,16
DONMARCELINO,118601000,32
DONSOL,56207000,72
DONVICTORIANOCHIONGBIAN (DONMARIANOMARCOS),104217000,51
DUE¥AS,63017000,40
DUERO,71221000,15
DULAG,83718000,47
DUMAGUETECITY (Capital),184610000,56
DUMALAG,61903000,22
DUMALINAO,97307000,83
DUMALNEG,12810000,38
DUMANGAS,63018000,40
DUMANJUG,72224000,25
DUMARAN,175311000,62
DUMARAO,61904000,22
DUMINGAG,97308000,83
DUPAXDELNORTE,25007000,59
DUPAXDELSUR,25008000,59
ECHAGUE,23112000,41
ELNIDO (BACUIT),175312000,62
ENRILE,21512000,18
ENRIQUEBMAGALONA (SARAVIA),184508000,55
ENRIQUEVILLANUEVA,76101000,71
ESPERANZA,160303000,3
ESPERANZA,54109000,50
ESPERANZA,126503000,75
ESTANCIA,63019000,40
FAMY,43408000,44
FERROL,175916000,68
FLORA,148103000,7
FLORIDABLANCA,35406000,63
GABALDON (BITULOK&SABANI),34907000,58
GAINZA,51713000,20
GALIMUYOD,12909000,39
GAMAY,84807000,57
GAMU,23113000,41
GANASSI,153609000,46
GANDARA,86007000,69
GARCHITORENA,51714000,20
GARCIAHERNANDEZ,71222000,15
GASAN,174003000,49
GATTARAN,21513000,18
GENERALEMILIOAGUINALDO,42107000,24
GENERALLUNA,45616000,65
GENERALLUNA,166710000,77
GENERALMACARTHUR,82607000,35
GENERALMAMERTONATIVIDAD,34909000,58
GENERALNAKAR,45617000,65
GENERALSANTOSCITY (DADIANGAS),126303000,73
